gesture,confidence,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62
closedFist,0.8291561603546143,0.0,0.0,-7.6486793e-07,-0.13056953,-0.032607976,-0.10131043,-0.28984365,-0.07362277,-0.15806317,-0.450546,-0.05030754,-0.20138222,-0.5433972,0.019913562,-0.23557651,-0.66728497,-0.38329604,-0.078870304,-0.93064845,-0.11100991,-0.15914963,-0.7797214,0.0075624534,-0.21542849,-0.6219976,-0.0019354906,-0.24257505,-0.7539335,-0.34759852,-0.05306735,-0.9964615,-0.08405066,-0.1318921,-0.7916065,0.027459977,-0.16144581,-0.61756045,0.016453143,-0.16484913,-0.80372715,-0.27849442,-0.040607955,-0.9863645,-0.0401251,-0.11311665,-0.7890204,0.043276902,-0.11736754,-0.6217883,0.023235215,-0.10079995,-0.8219666,-0.20132433,-0.03730551,-0.97863275,-0.036713287,-0.08471716,-0.8314386,0.036077067,-0.08323554,-0.67963946,0.03469696,-0.06586619
closedFist,0.9534987807273865,0.0,0.0,-9.848912e-07,-0.17569774,0.13940746,-0.10320241,-0.43764338,0.12824403,-0.14360084,-0.7223363,0.09347772,-0.16328207,-0.97314566,0.089328535,-0.17141978,-0.64978135,-0.20345128,-0.09301923,-0.99999636,0.0026823287,-0.14216325,-0.8611069,0.10055736,-0.16583192,-0.70743906,0.083340384,-0.17314737,-0.67176443,-0.25411084,-0.046861116,-0.9861506,-0.031245483,-0.09881427,-0.84529245,0.06524943,-0.11223215,-0.7126621,0.048286185,-0.112116605,-0.6678609,-0.24725267,-0.008809207,-0.9457533,-0.041318905,-0.062229127,-0.818442,0.04513027,-0.06068606,-0.69424725,0.032280717,-0.047943465,-0.6637705,-0.21293,0.022387223,-0.88346267,-0.057352792,-0.023265459,-0.77619,0.015533649,-0.028397059,-0.6539663,0.0071827206,-0.018845817
closedFist,0.9591287970542908,0.0,0.0,-9.824263e-07,-0.17324013,0.13209513,-0.10331181,-0.4380098,0.12739655,-0.14441888,-0.7219473,0.101115264,-0.16527832,-0.9740214,0.08847291,-0.17354313,-0.6416087,-0.2147394,-0.090914,-0.9999915,-0.004133225,-0.14520694,-0.85955215,0.090895444,-0.17284746,-0.7013239,0.0713958,-0.18224218,-0.6722161,-0.26201302,-0.047126476,-0.9918489,-0.041210912,-0.102072455,-0.8558786,0.05377027,-0.11695428,-0.72638977,0.039458577,-0.11738793,-0.6784463,-0.2541128,-0.012564095,-0.9577805,-0.047983278,-0.067600675,-0.8319777,0.037567675,-0.06540918,-0.71164185,0.02367916,-0.051903073,-0.6799852,-0.22083078,0.014659437,-0.8964246,-0.06569419,-0.03203762,-0.7921223,0.0045294403,-0.03710201,-0.67721474,-0.0071636373,-0.027306307
closedFist,0.9489828944206238,0.0,0.0,-1.0722296e-06,-0.24807782,0.17076795,-0.07682183,-0.5391693,0.2444362,-0.11500242,-0.8135193,0.25519377,-0.13661852,-0.9804674,0.19668177,-0.14534955,-0.64547473,-0.18674016,-0.09278108,-0.9753681,0.015582231,-0.1250336,-0.8066931,0.10812154,-0.14059636,-0.67435014,0.07949829,-0.14986987,-0.6690506,-0.26004305,-0.060484465,-0.96776056,-0.033064205,-0.09823952,-0.82875866,0.06735416,-0.10228185,-0.7101294,0.039472897,-0.1026174,-0.6718801,-0.26971477,-0.031458475,-0.9401445,-0.070944645,-0.0657745,-0.82940716,0.014905578,-0.052963458,-0.71428937,-0.016195327,-0.04025099,-0.6728066,-0.2409338,-0.007559421,-0.8895112,-0.09471943,-0.040009253,-0.79952073,-0.027183473,-0.035733197,-0.6850412,-0.049288947,-0.024600076
closedFist,0.997002124786377,0.0,0.0,-6.2465205e-07,-0.1817325,-0.1631977,-0.057740137,-0.47685778,-0.24855165,-0.08131999,-0.695702,-0.08188446,-0.10031874,-0.758703,0.09037058,-0.10389364,-0.74959075,-0.23737572,-0.019438898,-0.9821547,-0.18807468,-0.08405077,-0.75152904,-0.19986248,-0.11435001,-0.6569729,-0.2311804,-0.12610768,-0.72139096,-0.07244831,-0.017396204,-0.9166041,-0.012606938,-0.08642742,-0.6539841,-0.056697138,-0.09869925,-0.5932461,-0.08936416,-0.09055274,-0.65839726,0.07133853,-0.028070224,-0.7928092,0.14626878,-0.10143786,-0.5539374,0.07101857,-0.08673292,-0.50110036,0.02059962,-0.057496205,-0.5721888,0.21038955,-0.043191448,-0.6587494,0.24985042,-0.0848551,-0.5007186,0.18166763,-0.067751944,-0.44337752,0.13730595,-0.042925227
closedFist,0.9889177083969116,0.0,0.0,-7.5286897e-07,-0.12254424,-0.19783674,-0.06352339,-0.41937912,-0.36051014,-0.07798766,-0.71824574,-0.39679816,-0.084675774,-0.9346885,-0.3554678,-0.07566327,-0.6966188,-0.23433472,-0.024659596,-0.86716884,-0.18041214,-0.08309315,-0.6498874,-0.17098163,-0.10297636,-0.5883212,-0.197217,-0.107115164,-0.68893284,-0.08894617,-0.010453514,-0.80293506,-0.02051431,-0.06691711,-0.55629987,-0.045582358,-0.06213007,-0.560885,-0.09142082,-0.044387978,-0.64663607,0.04187241,-0.010705123,-0.71594554,0.10309832,-0.06396461,-0.50641674,0.070699275,-0.032527655,-0.51928204,0.022993864,0.0010889899,-0.5865673,0.16401002,-0.018043553,-0.6055101,0.20370896,-0.042073786,-0.4654327,0.16732958,-0.01960279,-0.46135673,0.12703861,0.0054109143
closedFist,0.9943289756774902,0.0,0.0,-6.897621e-07,-0.13857754,-0.19394527,-0.05470709,-0.41614786,-0.35489577,-0.075240724,-0.6453749,-0.39169514,-0.09202615,-0.7957298,-0.35680947,-0.1012997,-0.8393656,-0.30035713,-0.02079541,-0.969261,-0.24603495,-0.094170935,-0.74422365,-0.19176428,-0.13916208,-0.5396199,-0.19303463,-0.15622704,-0.8517308,-0.114884414,-0.016037969,-0.9862072,-0.050148394,-0.09947413,-0.690126,-0.034082353,-0.12369533,-0.46905315,-0.0794024,-0.115031265,-0.81302637,0.054124128,-0.023616586,-0.87049705,0.11469307,-0.10256221,-0.5877916,0.082829475,-0.10015295,-0.4090609,0.0117244115,-0.07313303,-0.7234556,0.19961163,-0.035855625,-0.74613446,0.2367489,-0.09099935,-0.5406502,0.19236802,-0.08870848,-0.42673558,0.11725905,-0.067855135
closedFist,0.9310579299926758,0.0,0.0,5.734442e-07,0.017308405,-0.2301292,-0.009154892,0.1107024,-0.46470672,-0.020919252,0.2140673,-0.61631614,-0.032281354,0.31243354,-0.70770174,-0.04512077,0.16042565,-0.5048774,-0.0401711,0.40013245,-0.6071666,-0.06803223,0.5864043,-0.6516195,-0.08698525,0.7389283,-0.673784,-0.09828833,0.17508583,-0.38823497,-0.048845887,0.42588392,-0.48727554,-0.07210967,0.6255467,-0.5354679,-0.08301289,0.79419076,-0.5652651,-0.09070464,0.1953302,-0.24844919,-0.057306476,0.42456505,-0.34647,-0.07813432,0.6009348,-0.395827,-0.080518655,0.74985284,-0.42676112,-0.080916286,0.21662994,-0.10003474,-0.06625534,0.38826826,-0.18776858,-0.082091354,0.5302103,-0.23489316,-0.0810683,0.65251815,-0.2650845,-0.078668214
closedFist,0.9652941226959229,0.0,0.0,-1.5402061e-06,-0.3079693,0.17870206,-0.0220815,-0.60129076,0.18986107,-0.04275629,-0.79447997,0.14931738,-0.06594497,-0.89936274,0.0806203,-0.08344291,-0.78506505,-0.31716985,-0.022331731,-0.99981654,0.019151913,-0.08526611,-0.82794505,0.1154728,-0.12971826,-0.6832099,0.05463955,-0.15057263,-0.75649506,-0.35596448,-0.030848436,-0.9885706,0.005788132,-0.090545684,-0.81729937,0.123941116,-0.11291341,-0.66550505,0.05989967,-0.11789797,-0.72314894,-0.34146544,-0.0453307,-0.9524079,0.0049088798,-0.0930983,-0.79515123,0.11683797,-0.082166456,-0.65994257,0.05561694,-0.06395374,-0.6769245,-0.29015866,-0.06252809,-0.9002126,-0.031894896,-0.08943795,-0.7778348,0.061392516,-0.07183942,-0.64960164,0.017912963,-0.04858872
closedFist,0.5649533867835999,0.0,0.0,2.510862e-07,-0.2600987,0.046639312,-0.04723523,-0.5670216,0.04042319,-0.06341763,-0.81705195,0.018454753,-0.07292529,-0.99999994,0.000370218,-0.077853605,-0.61809075,-0.046895295,-0.017847693,-0.81982243,-0.018038206,-0.039074123,-0.88496506,-0.009721646,-0.060056407,-0.9342488,-0.026525699,-0.07453841,-0.5292666,-0.027672034,-0.0036648628,-0.7139248,0.03342611,-0.019691948,-0.76596487,0.031263854,-0.041746408,-0.816738,0.0024519856,-0.058873687,-0.43185428,-0.009573669,0.0046664146,-0.5747755,0.034566633,-0.017675104,-0.6198597,0.019665947,-0.030168008,-0.6589417,-0.01634892,-0.03743326,-0.33511314,0.009092953,0.010067713,-0.44084695,0.033454876,-0.003466076,-0.44908032,0.018561518,-0.0020700519,-0.44237733,-0.0074321576,0.000807043
closedFist,0.9722762703895569,0.0,0.0,-9.827429e-07,-0.22664693,0.14420314,-0.015762987,-0.50967014,0.22376552,-0.028028576,-0.7601025,0.2066987,-0.048214573,-0.81800395,0.10588516,-0.06089281,-0.717623,-0.0065814913,0.019062705,-0.9999998,0.00058330776,-0.025603577,-0.8641545,0.045201916,-0.053588483,-0.71864194,0.036323998,-0.06486559,-0.70845526,-0.10920543,0.009452529,-0.98924935,-0.07009429,-0.03822301,-0.8422867,-0.014292796,-0.054053698,-0.715029,-0.026580399,-0.05062878,-0.6860604,-0.20880435,-0.008569392,-0.91169304,-0.16369595,-0.047556117,-0.7884345,-0.09342651,-0.041670356,-0.6766708,-0.09082203,-0.023683274,-0.63936174,-0.304534,-0.029713023,-0.82916254,-0.28121498,-0.041466966,-0.76670516,-0.20001559,-0.028762318,-0.66967326,-0.15614648,-0.012282953
closedFist,0.9940367341041565,0.0,0.0,-8.64053e-07,0.11099566,-0.2010292,-0.030612951,0.3602492,-0.35774302,-0.046639387,0.58501583,-0.30721,-0.065325625,0.69452155,-0.16853282,-0.074793205,0.63113415,-0.3639281,-0.011087593,0.90743136,-0.42020032,-0.06517157,0.6991496,-0.3663873,-0.09333609,0.5604162,-0.3338179,-0.1034853,0.66436946,-0.20379494,-0.018513774,0.9368952,-0.22491215,-0.069705844,0.6770778,-0.18512389,-0.07742849,0.5572165,-0.16955578,-0.06830418,0.6556476,-0.05033051,-0.03553305,0.86164623,-0.03965596,-0.07763235,0.64188594,-0.036070097,-0.0632935,0.54288405,-0.04384369,-0.041091923,0.61145276,0.10378083,-0.056895964,0.7800458,0.11740067,-0.07190619,0.6406961,0.09717156,-0.053912446,0.5501836,0.07797026,-0.03519168
closedFist,0.978661060333252,0.0,0.0,-1.3299787e-06,0.08522627,-0.23471503,-0.044196367,0.37835935,-0.44324124,-0.05727585,0.6492873,-0.5363002,-0.07077021,0.8213018,-0.51131386,-0.06990206,0.75837016,-0.33397484,0.0032200688,0.9571272,-0.28966781,-0.056388736,0.6676683,-0.26203868,-0.075541,0.6154627,-0.28018233,-0.08107388,0.7511442,-0.15637252,-0.0031977599,0.9289477,-0.11076614,-0.069259845,0.5837426,-0.11489728,-0.070519686,0.5960687,-0.14632471,-0.054239012,0.71238625,0.0068412987,-0.023958132,0.8478019,0.06263497,-0.09088944,0.54598594,0.03257863,-0.06332086,0.5491375,-0.006205636,-0.028395152,0.65836895,0.16751297,-0.049624585,0.7840588,0.21153069,-0.08148615,0.5658196,0.18049951,-0.057013866,0.52884066,0.14725217,-0.030105619
closedFist,0.974821150302887,0.0,0.0,-1.0420932e-06,0.1607735,-0.20522285,-0.036414996,0.47706336,-0.35198575,-0.046908554,0.7218057,-0.41482836,-0.059470933,0.8867959,-0.46216127,-0.0631869,0.7292397,-0.29523095,-0.007515447,0.9274944,-0.27867848,-0.075200774,0.6865003,-0.22090086,-0.11116268,0.46851444,-0.20811039,-0.12093355,0.73847157,-0.13084865,-0.016178906,0.9265889,-0.11770188,-0.095005274,0.6155736,-0.07642022,-0.11444206,0.401095,-0.077236466,-0.1030835,0.7030366,0.024160977,-0.035058178,0.85477114,0.04895164,-0.1156525,0.54316396,0.054680165,-0.09922549,0.34566176,0.022884421,-0.06124083,0.63230884,0.16253605,-0.056278694,0.7533216,0.1972305,-0.10745547,0.5486315,0.17059691,-0.08616307,0.41876727,0.118266396,-0.052582346
closedFist,0.9947968125343323,0.0,0.0,-7.365384e-07,-0.4006203,-0.04574467,-0.11622033,-0.8041083,-0.13500613,-0.19795024,-0.9155981,-0.089894734,-0.25915658,-0.7850685,-0.11957623,-0.30279252,-0.31896216,-0.9233409,-0.18153821,-0.6709011,-0.39262912,-0.2671465,-0.6789407,-0.31498593,-0.3067024,-0.57546175,-0.48701394,-0.33485067,0.16771811,-0.8482726,-0.16131338,-0.18887709,-0.15022764,-0.23565404,-0.21445954,-0.09369012,-0.24120976,-0.10884864,-0.31948954,-0.24701609,0.57405066,-0.67592895,-0.14956076,0.2307627,-0.02441162,-0.22482903,0.1668392,0.02816682,-0.19978896,0.25432384,-0.18888701,-0.17846821,0.88784385,-0.46014482,-0.15037869,0.622715,0.021114279,-0.2135411,0.52746975,0.09451056,-0.21385686,0.59382886,-0.04847646,-0.20516814
closedFist,0.9924091100692749,0.0,0.0,-1.9293736e-07,0.22449319,0.14601295,-0.0141796,0.48913336,0.20162272,-0.016392896,0.6975928,0.19463506,-0.023248365,0.76510334,0.09980068,-0.025896031,0.748597,-0.0064360625,0.02258015,0.9987177,-0.050623972,-0.0043850364,0.878233,-0.010042672,-0.028299745,0.71899605,0.0026502095,-0.038041964,0.7063671,-0.10502517,0.018278094,0.9265458,-0.16692626,-0.009078976,0.78850764,-0.104927674,-0.030177655,0.6457409,-0.07721063,-0.03769707,0.6469345,-0.20329179,0.007805907,0.83087087,-0.25566807,-0.013218575,0.7326157,-0.19174637,-0.019350762,0.6106847,-0.15894939,-0.016749933,0.57386243,-0.3014236,-0.005280346,0.73474675,-0.34575045,-0.013550481,0.6961784,-0.29567415,-0.009818581,0.61696833,-0.25814953,-0.0032116275
closedFist,0.9255397319793701,0.0,0.0,-2.430642e-07,0.2374299,0.09370458,-0.08929796,0.5328874,0.11116007,-0.11691414,0.83006704,0.08631889,-0.12857954,0.99999994,-0.0002958491,-0.12455317,0.63077515,-0.23579416,-0.039277986,0.873724,-0.054217376,-0.077945955,0.7273936,0.034230847,-0.103031665,0.60230225,0.028888268,-0.11233174,0.60987943,-0.26467678,-0.0007301588,0.8514339,-0.067225896,-0.041803714,0.7164774,0.009379783,-0.061114732,0.59347326,-0.0013720897,-0.0639905,0.59087825,-0.2510185,0.027470421,0.80395234,-0.06342069,-0.010234679,0.6841007,-0.00056959083,-0.012066694,0.5740339,-0.012602393,-0.0015328804,0.5773764,-0.22860906,0.04848001,0.74582314,-0.071939975,0.026964536,0.65824115,-0.023988748,0.029284295,0.56855756,-0.035807367,0.03985374
closedFist,0.7441219091415405,0.0,0.0,-4.987015e-07,0.2345067,0.10691986,-0.058835126,0.44816375,0.11809631,-0.09019743,0.60142964,0.08357822,-0.11640802,0.6170452,0.026021821,-0.1314154,0.7363751,-0.25187927,-0.029546745,0.9853843,-0.06714571,-0.07366268,0.83758026,0.002392245,-0.10905966,0.7184763,-0.027511617,-0.13166979,0.7499156,-0.27981582,-0.019095901,0.99562126,-0.09347901,-0.06382716,0.8465347,-0.022548148,-0.0845284,0.7220546,-0.05102512,-0.09290922,0.7498004,-0.26230958,-0.017714767,0.96293145,-0.0890702,-0.05110345,0.8398393,-0.028286805,-0.051788703,0.727452,-0.059171565,-0.046913307,0.7365618,-0.21545692,-0.022731852,0.916651,-0.08116999,-0.03305928,0.8323643,-0.030126425,-0.024575802,0.74012727,-0.053687576,-0.016363328
closedFist,0.9611168503761292,0.0,0.0,4.9604273e-07,-0.15076,-0.1578564,-0.026588041,-0.42314848,-0.29243276,-0.037050586,-0.647803,-0.33633295,-0.048018426,-0.8152573,-0.2891042,-0.0598836,-0.68349665,-0.17107973,-0.013497155,-0.8478928,-0.19978973,-0.04990057,-0.9233481,-0.23632868,-0.0785655,-0.963994,-0.26592392,-0.0960878,-0.6830832,-0.047515515,-0.020301813,-0.8641087,-0.05718633,-0.057391856,-0.81836116,-0.09140491,-0.07604386,-0.7842292,-0.11055076,-0.08384892,-0.6332911,0.07092651,-0.032382477,-0.7422798,0.049012203,-0.07850072,-0.60163754,0.012846023,-0.07572578,-0.5137233,-0.0015903452,-0.064053185,-0.53552383,0.18303974,-0.04655916,-0.6108892,0.15279388,-0.08391076,-0.50799626,0.115698785,-0.07811313,-0.43549442,0.10397402,-0.06599179
closedFist,0.9936925768852234,0.0,0.0,-4.0319762e-07,-0.01747084,-0.20524086,-0.059573837,-0.25841993,-0.45893067,-0.07556094,-0.49333957,-0.6205272,-0.08720625,-0.7216326,-0.69227624,-0.08534927,-0.59166193,-0.46304584,-0.01911219,-0.80586356,-0.5131641,-0.09838231,-0.5790168,-0.4195623,-0.13403988,-0.40089795,-0.3552232,-0.13973816,-0.67811,-0.30050296,-0.016231189,-0.9313075,-0.34434235,-0.098884515,-0.6255934,-0.26842263,-0.11050469,-0.43601778,-0.24303664,-0.09257492,-0.7010272,-0.13026154,-0.028301787,-0.89557505,-0.16176684,-0.10975761,-0.61227846,-0.117289506,-0.08311859,-0.4520584,-0.11061097,-0.039032005,-0.6628694,0.032603778,-0.045466337,-0.80771154,0.02044979,-0.0955883,-0.61064166,0.029906996,-0.07123516,-0.48822126,0.024906931,-0.03476246
closedFist,0.9839541912078857,0.0,0.0,-9.3891634e-07,-0.09953684,-0.18499206,-0.04382264,-0.3850621,-0.3129279,-0.054763757,-0.6297604,-0.32028237,-0.065485746,-0.8045271,-0.2991506,-0.06454127,-0.71104985,-0.3487322,0.0057082153,-0.87439305,-0.40450788,-0.07022808,-0.6359228,-0.34991214,-0.1118229,-0.44699165,-0.30267885,-0.12434506,-0.7540132,-0.20055452,0.0013897682,-0.96814275,-0.25039876,-0.084764525,-0.65456504,-0.20560761,-0.10341503,-0.45495927,-0.18519369,-0.08584888,-0.74523103,-0.051720764,-0.016891861,-0.89539707,-0.07525804,-0.10018089,-0.602886,-0.06225723,-0.0842107,-0.45824575,-0.059312176,-0.044281896,-0.68769544,0.09972994,-0.03898437,-0.7714447,0.07145123,-0.09136872,-0.56892484,0.061302073,-0.07371699,-0.47653902,0.048066985,-0.04140104
